20 38
548482 23382 234145 -154423 -7762 166025 -22524 3584 128518 -5414 -94707 47320 2075 -1688 -31591 26052 54812 24769 -79571 -39 26067 -11587 -10373 2994 -7379 -694 6315 5335 -12546 2818 1753 -10266 21763 -28711 -29211 -193059 120486 102921
171578 -155657 -271895 -24831 -82550 12842 25660 2934 -11810 18127 -135621 -33236 -149342 -113324 46014 -9024 -91110 -3175 65363 -32358 -70501 -5984 9488 4120 2373 13334 -1826 13244 24996 5010 32771 16051 -2114 9795 -16633 36655 3345 -9046
-101105 -28152 232280 182490 11563 1691 -11049 18325 191012 -34228 28350 18079 -31081 17690 23178 -15061 -41379 -34681 58795 9781 250 25079 9680 -14194 -3804 -40866 45300 51879 81614 -9856 -4499 32697 -7116 20934 58472 -14799 30515 -10686
104308 983358 83656 125486 -141573 189362 -64685 10403 -52870 19575 149107 -187822 23700 -60439 -92518 22338 93363 157680 129927 -1919 4628 2411 6200 4529 -4707 8919 -13765 10952 30184 -1416 -28751 19326 5695 12975 39331 -8317 13648 -9561
82247 1001307 81409 130948 -112583 186623 -34708 5966 -60727 16115 119376 -170640 22077 -54478 -84015 19217 71988 165345 140882 -3558 3880 3447 3226 1024 -7818 465 -3061 22998 39126 -2131 -29458 22152 6128 11761 42463 -13478 11027 -4412
-30044 -76426 -216839 -124619 58247 151185 11860 -13437 -105008 26072 238482 15725 31142 -90119 -83707 -12108 82294 21098 90135 -39128 35177 -186838 60527 -16748 15700 -89840 43479 101121 97235 59907 -46660 -110347 -17999 3664 -29809 58837 -59081 3432
-174507 237803 -233190 -185840 81415 43247 -43522 -194 76379 -16784 57744 -11383 31713 -9485 22333 -11639 -30783 -37027 -34814 29681 67767 -13905 -9480 -6200 -43263 -11397 3177 -43514 -36328 19588 59600 77014 -11009 2823 25121 1051 -12428 -7423
301672 -156784 294241 -132168 -150301 -2608 -111189 -9651 -80137 -120692 81432 -84592 -41154 -28522 -8161 10362 46574 -50971 -67591 -19384 -23711 8132 43664 -5498 160712 -27176 60918 66822 37846 82988 93420 35239 -12036 13832 599 20293 25915 -18433
191368 -114914 -119989 136876 -156388 -36999 93301 -13007 10562 -17475 -65453 -7949 5952 -47568 27784 24021 -18571 9297 -42303 -12733 70646 -153388 72061 17957 17986 -2880 -59520 -12548 57997 50086 -64263 -50120 -7012 9728 21228 -8624 -26546 -11805
-243129 -355371 383217 162641 -86394 -105495 -6874 3749 -136832 23377 179103 -212282 24949 -38834 -18753 4399 5733 60941 12422 -4356 4609 -3915 -4471 -12949 -7114 -30509 31734 25480 30276 28300 44159 -62168 -9588 30741 50613 21883 25090 -15503
153230 -161110 -50179 54276 -82722 135125 225912 -7159 -65687 4857 115226 88315 -25191 17288 -43293 12304 47407 15185 -49485 59877 115523 -53356 5205 -35705 -30709 -54130 25905 -16889 -54397 105077 -828 -8360 5968 -14099 -52262 7520 -16280 4298
-195205 116738 18287 -40860 104402 24684 11640 9279 98008 -2243 -2143 -25667 737 -4633 2123 1118 8654 -18072 10655 2954 -1777 1475 -1158 -1848 1595 -930 -4174 -14229 -18382 1175 -3945 -5492 -1846 10615 -1714 17961 15673 -13966
